"FullName","Length","LastWriteTime","Attributes"
"C:\Users\sirok\MoCKA\.git",,"2026/02/20 18:32:24","Hidden, Directory"
"C:\Users\sirok\MoCKA\.venv",,"2026/02/20 15:08:00","Directory"
"C:\Users\sirok\MoCKA\app",,"2026/02/15 15:46:12","Directory"
"C:\Users\sirok\MoCKA\audit",,"2026/02/21 10:53:02","Directory"
"C:\Users\sirok\MoCKA\backup",,"2026/02/20 10:31:40","Directory"
"C:\Users\sirok\MoCKA\config",,"2026/02/20 13:24:30","Directory"
"C:\Users\sirok\MoCKA\contracts",,"2026/02/20 18:28:56","Directory"
"C:\Users\sirok\MoCKA\docs",,"2026/02/21 12:18:12","Directory"
"C:\Users\sirok\MoCKA\examples",,"2026/02/20 18:36:00","Directory"
"C:\Users\sirok\MoCKA\infield",,"2026/02/20 18:28:01","Directory"
"C:\Users\sirok\MoCKA\memory",,"2026/02/18 17:06:01","Directory"
"C:\Users\sirok\MoCKA\ops",,"2026/02/20 12:38:02","Directory"
"C:\Users\sirok\MoCKA\outbox",,"2026/02/20 13:44:15","ReadOnly, Directory"
"C:\Users\sirok\MoCKA\schemas",,"2026/02/20 18:32:24","Directory"
"C:\Users\sirok\MoCKA\scripts",,"2026/02/20 11:22:20","Directory"
"C:\Users\sirok\MoCKA\secrets",,"2026/02/20 14:49:39","Directory"
"C:\Users\sirok\MoCKA\src",,"2026/02/20 19:23:23","Directory"
"C:\Users\sirok\MoCKA\tools",,"2026/02/21 10:53:02","Directory"
"C:\Users\sirok\MoCKA\venv",,"2026/02/18 15:14:04","Directory"
"C:\Users\sirok\MoCKA\__pycache__",,"2026/02/20 19:21:30","Directory"
"C:\Users\sirok\MoCKA\.gitattributes","115","2026/02/20 15:47:05","Archive"
"C:\Users\sirok\MoCKA\.gitignore","598","2026/02/20 17:58:46","Archive"
"C:\Users\sirok\MoCKA\audit_db_scan.py","1515","2026/02/20 13:19:09","Archive"
"C:\Users\sirok\MoCKA\desktop.ini","114","2026/02/19 9:13:03","Hidden, System, Archive"
"C:\Users\sirok\MoCKA\export_verify_pack.ps1","5515","2026/02/20 13:44:09","Archive"
